subject,sessionInd,generated,rep,H..,H.t,DD...t,UD...t,H.i,DD.t.i,UD.t.i,H.e,DD.i.e,UD.i.e,H.5,DD.e.5,UD.e.5,H.Shift.r,DD.5.Shift.r,UD.5.Shift.r,H.o,DD.Shift.r.o,UD.Shift.r.o,H.a,DD.o.a,UD.o.a,H.n,DD.a.n,UD.a.n,H.l,DD.n.l,UD.n.l
user1,-1,1,0,0.39399891352297634,0.2889510666881874,0.3779167329380826,0.669032782637452,0.07800093102639982,0.4827851328211108,0.019034126984141198,0.5114078145232834,0.20847362055963015,0.9311743531147109,0.41945568047323034,0.9036022963392099,0.2891763409899012,0.2882382484639028,0.28049103618219706,0.2911585339915015,0.02016314488987092,0.4770043781229879,0.3635584724916966,0.11920783797013523,0.9245304559382759,0.43578608238544847,0.2422488410028123,0.11378668898658029,0.42374884603270824,0.5862040854354861,0.29619844749984114,0.22984059230726006
user1,-1,1,0,0.6569418375047816,0.7188480124043212,0.20783909938949297,0.9148057149826548,0.5137919760178087,0.28360410714517503,0.048281717602413066,0.47612342649755335,0.1946787470307203,0.11971609518886761,0.8642105762283947,0.3833675503597601,0.007650810541863118,0.22798258679980032,0.10402385990059027,0.6687542839319782,0.8865316383403731,0.08404580124067529,0.745618382053177,0.25679710475658357,0.7987624983393058,0.5554180253137121,0.8162729301293221,0.9642186079266727,0.09791459773369371,0.32551913445827796,0.45431639651949296,0.3132074542827352
user1,-1,1,0,0.9530978891300735,0.34178760753085513,0.890570827861279,0.9590202538011177,0.3894928484686929,0.8484717588249514,0.7885207882322793,0.6857501104512405,0.9896677494891748,0.5241784029079972,0.5840973013449337,0.01200816972440455,0.7286470999995357,0.08798418162328048,0.36254444916503037,0.5713075969161635,0.1832892272937502,0.5583657016561697,0.3613365880164717,0.219666595113446,0.6116783522087846,0.6974687889960229,0.06476940287146637,0.4957220479259251,0.29015832524211527,0.03396702147840758,0.6055073080386757,0.9967547478102003
user1,-1,1,0,0.7465598568047921,0.06773168429861898,0.47214999348299014,0.7230658207326037,0.41044702491072205,0.11566493916816523,0.5207353964608652,0.46191262973739944,0.18638735392806105,0.7252431261970188,0.4224065062072475,0.17421891600868677,0.7678967290266597,0.9006847706175425,0.00549514793067829,0.5290277249880863,0.31704766183331656,0.4753712169637371,0.009466522609615113,0.18796952565477176,0.17335976864633196,0.28078326921900676,0.7118852474441246,0.7076950751219608,0.03188123715652913,0.07350519990835636,0.8961147792294589,0.05735872275829057
user1,-1,1,0,0.8295709676058688,0.9162329304898238,0.6960100535428861,0.38935959121925046,0.9068837822748831,0.49456674342231244,0.31296567170538847,0.4457823507916794,0.44229667632447167,0.6812892520170412,0.21893392494489594,0.41737378845292994,0.6229491601113474,0.0863836286639984,0.6502853534774522,0.9597144260578185,0.4850824339575257,0.5717704763316179,0.7623922215512537,0.9816123086830945,0.18503201443399142,0.8070244163087609,0.09016531615179468,0.93718531892254,0.7973069383595659,0.08797636684380639,0.5406653096758607,0.06142878967652454
user1,-1,1,0,0.5913763662064804,0.8688056595039894,0.08869127309312763,0.8542148235367926,0.16459514293806765,0.8431684920760405,0.22348352412586958,0.9494532076719195,0.8468711328944791,0.17215004453808147,0.686665408718121,0.6983699456784939,0.8001296213503166,0.3663604476516843,0.2031260482650341,0.6683579193432732,0.019771144154380416,0.7854132132611475,0.15139573251446614,0.5382301984060214,0.7034098772535976,0.4133264982584067,0.4507339888523062,0.0005589154447808165,0.1763137630515228,0.14252841321173504,0.7970101522153487,0.08968196537625617
user1,-1,1,0,0.8808575655873885,0.6431237930351499,0.4836537811920656,0.2594358567536631,0.08738293244431716,0.07119559322310243,0.8504244159994833,0.8377902926800436,0.6808770363420629,0.4249235032391514,0.5578056232782842,0.032168122970144264,0.9942183196978801,0.3335558910542432,0.7057579094954703,0.7452967223593503,0.9417846460367922,0.4388302267714581,0.27408938388939885,0.15574427119594836,0.8900024900341775,0.8845942495773131,0.8584633453126509,0.8739102265682698,0.9460083510455971,0.4651761074257268,0.46194382542595247,0.6318072764961835
user1,-1,1,0,0.4558585065531271,0.5609205840158802,0.16015336809069547,0.6215683707327945,0.393512897523596,0.6884467318056363,0.8468679959376075,0.2584142647264769,0.3521573273453147,0.6227779943041618,0.9806685109053209,0.6420058192487066,0.7765073041735019,0.979034794792486,0.9245798925367905,0.32389251168838806,0.015391462000688527,0.7629742684666253,0.9886248582726888,0.8826810335609576,0.3500137288247742,0.16164755824991595,0.05659157366219225,0.06607845587297456,0.20726259938087355,0.9161856438054929,0.7012497968052613,0.8835994230562516
user1,-1,1,0,0.8718312431124587,0.9915283758168777,0.16613326843637133,0.3179228551693186,0.9523660985436624,0.4564574916867754,0.9455987883821478,0.23994858797310725,0.9847707772692654,0.3989276717561572,0.05553572704296206,0.6807532045750381,0.7700982988819706,0.31548225131351626,0.5492406752066146,0.7803989584060934,0.31385005264361654,0.9512038930289467,0.1227590176266039,0.10799861376828579,0.034843627359182006,0.49746395981778924,0.4539240515262809,0.15800756713193032,0.7170812233630754,0.8773031904398495,0.1337905230778893,0.9520646246422887
user1,-1,1,0,0.381749882845718,0.5308968356570095,0.6177389787250923,0.40142121729178626,0.5592560443567267,0.1691113977697899,0.36801372652955366,0.8974854930189444,0.41549293840599444,0.6091431989143585,0.9981774406202261,0.3727680785267876,0.24541012171643806,0.5362643759781982,0.7962067900302643,0.3945659731739406,0.18773277424394252,0.8977999784657689,0.5379346022734482,0.5740251462492998,0.7575067902231051,0.6097572644438471,0.7009165275094458,0.9807972567781367,0.2039462835401289,0.8141402299716272,0.7408516289246065,0.8271196610731104
